file,time,fire_count,max_power,visualization,csv
OR_ABI-L2-FDCC-M6_G16_s20223200726172_e20223200728544_c20223200729174.nc,2022-11-16 07:26:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200726172_e20223200728544_c20223200729174_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200731172_e20223200733544_c20223200734179.nc,2022-11-16 07:31:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200731172_e20223200733544_c20223200734179_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200736172_e20223200738544_c20223200739172.nc,2022-11-16 07:36:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200736172_e20223200738544_c20223200739172_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200741172_e20223200743544_c20223200744160.nc,2022-11-16 07:41:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200741172_e20223200743544_c20223200744160_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200746172_e20223200748544_c20223200749194.nc,2022-11-16 07:46:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200746172_e20223200748544_c20223200749194_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200751172_e20223200753545_c20223200754178.nc,2022-11-16 07:51:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200751172_e20223200753545_c20223200754178_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200756172_e20223200758545_c20223200759168.nc,2022-11-16 07:56:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200756172_e20223200758545_c20223200759168_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200801172_e20223200803545_c20223200804196.nc,2022-11-16 08:01:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200801172_e20223200803545_c20223200804196_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200806172_e20223200808544_c20223200809157.nc,2022-11-16 08:06:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200806172_e20223200808544_c20223200809157_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200811172_e20223200813545_c20223200814175.nc,2022-11-16 08:11:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200811172_e20223200813545_c20223200814175_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200816172_e20223200818544_c20223200819179.nc,2022-11-16 08:16:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200816172_e20223200818544_c20223200819179_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200821172_e20223200823544_c20223200824164.nc,2022-11-16 08:21:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200821172_e20223200823544_c20223200824164_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200826172_e20223200828545_c20223200829171.nc,2022-11-16 08:26:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200826172_e20223200828545_c20223200829171_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200831172_e20223200833544_c20223200834191.nc,2022-11-16 08:31:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200831172_e20223200833544_c20223200834191_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200836172_e20223200838544_c20223200839178.nc,2022-11-16 08:36:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200836172_e20223200838544_c20223200839178_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200841172_e20223200843545_c20223200844186.nc,2022-11-16 08:41:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200841172_e20223200843545_c20223200844186_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200846172_e20223200848544_c20223200849175.nc,2022-11-16 08:46:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200846172_e20223200848544_c20223200849175_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200851172_e20223200853544_c20223200854157.nc,2022-11-16 08:51:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200851172_e20223200853544_c20223200854157_visualization.png,
OR_ABI-L2-FDCC-M6_G16_s20223200856172_e20223200858544_c20223200859177.nc,2022-11-16 08:56:17,0,0,processed_results/NASA_A1/OR_ABI-L2-FDCC-M6_G16_s20223200856172_e20223200858544_c20223200859177_visualization.png,
